Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,ExpectedSalary
694,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Master's degree,A natural science,Never,100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",18 to 19 years,8 to 9 years,NA,Web developer; Database administrator; Systems administrator; DevOps specialist,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I am not interested in new job opportunities,NA,Between 2 and 4 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annual bonus,Yes,Dice; Indeed; LinkedIn,A recruiter contacted me,"A friend, family member, or former colleague told me",Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,NA,NA,Spaces,NA,NA,NA,NA,NA,Noon,C#; Java; JavaScript; Perl; PHP; Python; SQL,NA,Node.js; .NET Core,NA,SQL Server; MySQL,NA,Windows Desktop; Linux Desktop; WordPress; Amazon Web Services (AWS),NA,IntelliJ; IPython / Jupyter; PyCharm; Visual Studio,Turn on some music,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,"I've visited Stack Overflow, but haven't logged in/created an account",6,Desktop,Several times,Several times,Several times,Several times,Several times,Several times,Several times,Several times,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Male,I prefer not to answer,NA,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,NA,NA
695,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",20 or more years,19 to 20 years,NA,Web developer; Desktop applications developer,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Disagree,Strongly agree,Strongly agree,Disagree,Somewhat agree,Agree,Agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. dollars ($),Neither underpaid nor overpaid,Spaces,Somewhat important,Online course; Self-taught,Official documentation; Trade book; Stack Overflow Q&A; Non-Stack online communities; Built-in help,NA,NA,9:00 AM,C++; C#,C#,NA,Node.js; React; Xamarin; .NET Core,SQL Server,SQL Server,Linux Desktop,Raspberry Pi,Atom; Notepad++; Visual Studio,Turn on some music,Waterfall; Agile; Scrum,Subversion,Multiple times a day,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Bugs found; On time/in budget,Somewhat satisfied,Not very satisfied,Not very satisfied,Somewhat satisfied,Somewhat satisfied,Not very satisfied,Not much influence,Not much influence,Not much influence,Some influence,A lot of influence,Some influence,Some influence,Some influence,Not much influence,No influence at all,Not much influence,"I've visited Stack Overflow, but haven't logged in/created an account",8,Desktop,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,NA,Somewhat agree,Somewhat agree,NA,Disagree,Male,A master's degree,White or of European descent,Strongly agree,Agree,Strongly disagree,Strongly agree,16e4,NA
696,Professional developer,No,Portugal,"Yes, part-time","Independent contractor, freelancer, or self-employed",Secondary school,NA,About half the time,NA,NA,8 to 9 years,6 to 7 years,NA,Web developer; Mobile developer; Graphics programming; Database administrator; Systems administrator,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LinkedIn,"I completed a major project, assignment, or contract",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
697,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees",Publicly-traded corporation,12 to 13 years,5 to 6 years,NA,Web developer; DevOps specialist,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Somewhat agree,Disagree,Agree,Agree,Disagree,Somewhat agree,Agree,Somewhat agree,Agree,I am not interested in new job opportunities,NA,More than 4 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annual bonus; Health benefits; Professional development sponsorship; Remote options,No,NA,I was just giving it a regular update,An external recruiter or headhunter,Somewhat important,Somewhat important,Important,Somewhat important,Somewhat important,Somewhat important,Not very important,Not at all important,Not at all important,Important,NA,NA,Spaces,Not very important,On-the-job training; Self-taught,Official documentation; Stack Overflow Q&A; Built-in help,NA,NA,9:00 AM,Java; JavaScript; Python,Java; JavaScript; Python,AngularJS,AngularJS,SQL Server,NA,Salesforce,Arduino; Raspberry Pi,Vim; Eclipse,Turn on some music,NA,Subversion,A few times a week,Somewhat agree,Disagree,Somewhat agree,Disagree,Agree,Disagree,Disagree,Commit frequency; Customer satisfaction; Manager's rating; Self-rating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,8,Desktop; Android browser,Several times,Once or twice,Once or twice,Haven't done at all,Haven't done at all,Several times,Once or twice,Once or twice,Somewhat agree,Disagree,Disagree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly disagree,Male,A bachelor's degree,White or of European descent,Somewhat agree,Agree,Disagree,Agree,NA,NA
698,Professional developer,"Yes, I program as a hobby",Sweden,No,Employed full-time,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),20 to 99 employees,I don't know,20 or more years,8 to 9 years,NA,Web developer; Data scientist,NA,NA,NA,9,3,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I am actively looking for a job,6,Between 2 and 4 years ago,Somewhat important,Not very important,Not very important,Important,Very important,Somewhat important,Somewhat important,Somewhat important,Not very important,Not very important,Not very important,Important,Not at all important,Somewhat important,Somewhat important,Stock options; Retirement; Equipment; Professional development sponsorship; Long-term leave,Yes,LinkedIn,A recruiter contacted me,An external recruiter or headhunter,Very important,Somewhat important,Important,Not at all important,Not at all important,Not at all important,Somewhat important,Not very important,Somewhat important,Important,NA,Neither underpaid nor overpaid,Spaces,Important,Self-taught; Open source contributions,Official documentation; Stack Overflow Q&A; Non-Stack online communities,NA,NA,9:00 AM,Java; JavaScript; PHP; Scala; SQL,Go; Java; JavaScript; Lua; PHP; Python; Scala; SQL,AngularJS; Hadoop; Spark,Hadoop; Spark,Redis; MySQL,Redis,Amazon Web Services (AWS),Arduino; Raspberry Pi; Serverless; Amazon Web Services (AWS),Sublime Text; Vim,Something else,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satisfied,Satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,A lot of influence,Not much influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,A lot of influence,Some influence,Some influence,A lot of influence,I have created a CV or Developer Story on Stack Overflow,10,Desktop; iOS browser,Several times,Several times,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Haven't done at all,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Male,A master's degree,White or of European descent,Somewhat agree,Strongly agree,Strongly disagree,Agree,119658.11965812,NA
699,Professional developer,"Yes, I program as a hobby",France,No,Employed full-time,Secondary school,NA,Never,10 to 19 employees,I don't know,11 to 12 years,10 to 11 years,NA,Web developer; Database administrator,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
700,Professional developer,"Yes, I program as a hobby",Canada,No,"Independent contractor, freelancer, or self-employed",Master's degree,Computer science or software engineering,A few days each month,NA,NA,20 or more years,20 or more years,NA,Developer with a statistics or mathematics background,NA,NA,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",2,Between 2 and 4 years ago,Important,Important,Important,Very important,Important,Important,Important,Very important,Important,Not very important,Not very important,Important,Not very important,Not very important,Not very important,Health benefits; Equipment; Professional development sponsorship; Expected work hours; Remote options,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spaces,Very important,Open source contributions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not very satisfied,Somewhat satisfied,Not very satisfied,Not very satisfied,Somewhat satisfied,Satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
701,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,"1,000 to 4,999 employees",Publicly-traded corporation,15 to 16 years,5 to 6 years,NA,Web developer; Desktop applications developer,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not actively looking, but I am open to new opportunities",NA,Not applicable/ never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702,Professional developer,No,United States,No,Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,12 to 13 years,NA,Desktop applications developer,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Agree,Somewhat agree,Disagree,Agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Disagree,Agree,Somewhat agree,Disagree,Agree,Agree,Disagree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",NA,More than 4 years ago,Somewhat important,Somewhat important,Important,Not very important,Somewhat important,Important,Somewhat important,Important,Important,Somewhat important,Somewhat important,Important,Not very important,Somewhat important,Somewhat important,Equipment; Private office; Expected work hours,Yes,NA,I was just giving it a regular update,"A friend, family member, or former colleague told me",Very important,Somewhat important,Important,Not very important,Not very important,Not very important,Not very important,Somewhat important,Not very important,Important,U.S. dollars ($),Somewhat underpaid,Spaces,NA,NA,NA,NA,NA,10:00 AM,C#; F#; SQL,C#; F#; SQL,NA,.NET Core,SQL Server; Oracle,SQL Server,Windows Desktop,Windows Desktop; Linux Desktop,Notepad++; Visual Studio,Turn on some music,Agile; Scrum; Pair; Kanban,Git,Multiple times a day,Somewhat agree,Disagree,Somewhat agree,Agree,Agree,Disagree,Agree,Bugs found; Customer satisfaction; Peers' rating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9,Desktop,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Several times,At least once each day,Disagree,Disagree,Disagree,Somewhat agree,Agree,Agree,Agree,Strongly disagree,Male,A master's degree,White or of European descent,Agree,Somewhat agree,Disagree,Agree,93e3,NA
703,Student,"Yes, I program as a hobby",South Korea,"Yes, full-time","Not employed, but looking for work",Some college/university study without earning a bachelor's degree,Computer science or software engineering,NA,NA,NA,5 to 6 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I am actively looking for a job,0,Not applicable/ never,Somewhat important,Important,Important,Important,Not very important,Important,Important,Important,Important,Somewhat important,Somewhat important,Very important,Not very important,Important,Important,Annual bonus; Vacation/days off; Long-term leave; Expected work hours; Child/elder care,Yes,LinkedIn,NA,NA,Important,Important,Important,Important,Important,Not very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,NA,NA,Spaces,NA,NA,NA,NA,NA,10:00 AM,C,C; JavaScript; Python,AngularJS; Node.js,AngularJS; Node.js; .NET Core,MySQL; SQLite,MongoDB; MySQL; Oracle; SQLite,Android,Android; Arduino; Raspberry Pi,Vim; Visual Studio Code,Turn on some music,NA,Git,A few times a week,Somewhat agree,Somewhat agree,Disagree,Agree,Agree,Disagree,Somewhat agree,Bugs found; Hours worked; Benchmarked product performance; On time/in budget,Not very satisfied,Somewhat satisfied,Satisfied,NA,Satisfied,Not very satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8,Desktop; Android browser; Android app,At least once each week,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Disagree,Agree,Somewhat agree,Agree,Agree,Agree,Disagree,Male,A master's degree,East Asian,Strongly agree,Somewhat agree,Disagree,Agree,NA,30.5215700295623
704,Professional developer,"Yes, I contribute to open source projects",United States,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,100 to 499 employees,Venture-funded startup,8 to 9 years,3 to 4 years,NA,DevOps specialist,NA,NA,NA,7,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Somewhat agree,Disagree,Agree,Agree,Somewhat agree,Agree,"I'm not actively looking, but I am open to new opportunities",2,Less than a year ago,Important,Important,Important,Somewhat important,Important,Not very important,Very important,Very important,Very important,Important,Important,Somewhat important,Important,Important,Important,Annual bonus; Equipment; Education sponsorship; Remote options,No,Glassdoor; Indeed; LinkedIn,I was just giving it a regular update,A general-purpose job board,Somewhat important,Not very important,Somewhat important,Not at all important,Not very important,Important,Somewhat important,Important,Not at all important,Very important,U.S. dollars ($),Somewhat underpaid,Spaces,Important,Hackathon; Open source contributions,NA,NA,NA,10:00 AM,Elixir; Go; Java; Python; Ruby; Scala,Go; Java; Python,Hadoop,NA,Redis; PostgreSQL,Redis; PostgreSQL,Linux Desktop; Amazon Web Services (AWS),Linux Desktop; Serverless; Amazon Web Services (AWS); Microsoft Azure,Sublime Text; Vim; IntelliJ; RubyMine,Turn on some music,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9,Desktop,At least once each week,Once or twice,Once or twice,Haven't done at all,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Somewhat agree,Disagree,Disagree,Agree,Strongly agree,Agree,Disagree,Male,High school,East Asian,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,95e3,NA
705,Professional developer,No,Brazil,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",8 to 9 years,5 to 6 years,NA,Web developer,Back-end Web developer,NA,NA,8,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Somewhat agree,Agree,Agree,Disagree,Agree,Somewhat agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,"I'm not actively looking, but I am open to new opportunities",1,Between 2 and 4 years ago,Important,Not very important,Important,Not very important,Important,Somewhat important,Important,Somewhat important,Important,Not very important,Somewhat important,Important,Important,Somewhat important,Important,Retirement; Health benefits; Education sponsorship; Meals,No,LinkedIn,A recruiter contacted me,Some other way,Not very important,Important,Important,Important,Not very important,Important,Not very important,Important,Somewhat important,Somewhat important,Brazilian reais (R$),Somewhat underpaid,Tabs,NA,NA,NA,NA,NA,9:00 AM,C; JavaScript; SQL,Python,NA,Xamarin; .NET Core,SQL Server; PostgreSQL,MongoDB,Windows Desktop,Android; iOS; Amazon Web Services (AWS),Atom; Visual Studio,Turn on some music,Kanban,Subversion,Multiple times a day,Disagree,Agree,Disagree,Somewhat agree,Disagree,Disagree,Somewhat agree,Bugs found; Customer satisfaction; On time/in budget,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,9,Desktop; iOS browser; iOS app,Several times,Several times,Once or twice,Haven't done at all,Once or twice,Several times,Several times,Several times,Somewhat agree,Disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Disagree,Male,High school,Hispanic or Latino/Latina,Agree,Agree,Disagree,Agree,1050.95541401274,NA
